bar,equity
0,1000.0
1,1004.1199014508622
2,1002.7133862578702
3,1008.2857924993156
4,1008.592389816589
5,1008.1631535724061
6,1006.1396112784013
7,1006.1012866137421
8,1000.0498220640569
9,1000.0498220640569
10,1000.0498220640569
11,1000.049822064057
12,998.6429286886216
13,1000.4638397331224
14,1001.1538691815648
15,1003.8373170366187
16,998.669763167172
17,998.669763167172
18,998.669763167172
19,998.669763167172
20,999.299623690548
21,1001.3762547494352
22,1002.6550624787135
23,1002.86119865
24,1005.3997274260298
25,1007.3732903992739
26,1011.1791748950658
27,1010.8012585810403
28,1009.9690792228832
29,1014.0230905915201
30,1017.1380371798514
31,1019.268110949813
32,1016.1531643614819
33,1014.5040749911889
34,1012.496155989397
35,1014.5155270007049
36,1016.6646874531932
37,1017.8098884047855
38,1020.0621169429171
39,1021.9631505225605
40,1019.9170581557155
41,1023.4213730675879
42,1020.9706430311803
43,1026.29964479259
44,1025.7575830088363
45,1009.6331536104162
46,1009.6331536104162
47,1007.0302875482588
48,1007.0302875482589
49,1005.7624759285586
50,1005.7624759285586
51,1009.979886653045
52,1009.8484348902039
53,1006.6442981709513
54,1009.38835372026
55,1012.9539827873258
56,1019.0391039755134
57,1021.6845707026913
58,1023.3058091110654
59,1017.8943782074385
60,1019.6854084761491
61,1021.2628296302427
62,1014.1534801232511
63,1016.4648402865412
64,1010.0620440048208
65,1010.0620440048208
66,1010.0620440048208
67,1009.1970034633557
68,1008.9324028271428
69,1002.4903950301147
70,1002.4903950301147
71,1002.4903950301147
72,1002.4903950301147
73,1002.4903950301147
74,1002.4903950301147
75,1002.4903950301147
76,1002.4903950301147
77,1002.4903950301147
78,1002.4903950301147
79,1004.2817012297272
80,1003.5955901594823
81,1005.3535179827045
82,1005.9246590898273
83,1005.694719163583
84,1006.6626920789016
85,1006.1842686839741
86,1006.5087806766575
87,1007.4674818207565
88,1006.6960704552919
89,1002.2827073547974
90,1001.1515512660151
91,1001.1515512660151
92,1001.1515512660151
93,1001.1515512660151
94,1001.1515512660151
95,1002.3369735461865
96,1004.1450418725085
97,1005.2406594344852
98,1005.1867766035683
99,1003.3996627114916
100,1002.522569963789
101,1002.522569963789
102,1002.522569963789
103,1002.522569963789
104,1002.522569963789
105,1003.0031808260095
106,1000.2858809511472
107,1004.8849572019346
108,1005.2805369116085
109,1004.4782864723634
110,999.6315107772007
111,1001.1916475761013
112,1000.7258247404106
113,991.0396673633502
114,991.0396673633502
115,991.0396673633502
116,992.1986257260487
117,993.7635136675605
118,997.0668391531198
119,998.2052068850089
120,996.0696643182091
121,991.5691407270197
122,991.5691407270197
123,986.0782730276118
124,986.0782730276118
125,986.0782730276118
126,986.0782730276118
127,986.0782730276118
128,986.0782730276118
129,986.0782730276118
130,986.0782730276118
131,986.0782730276118
132,986.0782730276118
133,986.0782730276118
134,986.0782730276118
135,986.0782730276118
136,986.0782730276118
137,986.0782730276118
138,986.0782730276118
139,986.0782730276118
140,986.0782730276118
141,986.0782730276118
142,986.0782730276118
143,986.0782730276118
144,986.0782730276118
145,986.0782730276118
146,986.0782730276118
147,986.0782730276118
148,986.0782730276118
149,986.0782730276118
150,986.0782730276118
151,986.0782730276118
152,986.0782730276118
153,986.0782730276118
154,986.0782730276118
155,986.0782730276118
156,986.0782730276118
157,986.0782730276118
158,986.0782730276118
159,986.0782730276118
160,986.0782730276118
161,986.0782730276118
162,986.0782730276118
163,986.0782730276118
164,986.0782730276118
165,986.0782730276118
166,986.0782730276118
167,986.0782730276118
168,986.0782730276118
169,986.0782730276118
170,986.0782730276118
171,986.0782730276118
172,986.0782730276118
173,986.0782730276118
174,986.0782730276118
175,986.0782730276118
176,986.0782730276118
177,991.6559596453669
178,989.7607291071993
179,996.1998841513941
180,996.3850355743903
181,992.9443049637142
182,995.0015429970033
183,998.0976862371034
184,1001.435554946115
185,1000.7566663951295
186,1005.2568745929495
187,1012.5034955652104
188,1012.148622004468
189,1020.4752929442058
190,1020.4752929442058
