bar,equity
0,1000.0
1,1000.6085930918282
2,1000.5566975568661
3,1003.9865206402695
4,999.9386689132266
5,1000.7666385846671
6,999.6320134793597
7,998.2685762426285
8,998.2685762426285
9,998.2685762426285
10,998.2685762426285
11,998.2685762426285
12,998.2685762426285
13,998.2685762426285
14,998.2685762426285
15,998.2685762426285
16,998.2685762426285
17,998.2685762426285
18,998.2685762426285
19,998.2685762426285
20,998.2685762426285
21,998.2685762426285
22,998.2685762426285
23,998.2685762426285
24,998.2685762426285
25,998.2685762426285
26,998.2685762426285
27,998.2685762426285
28,998.2685762426285
29,998.2685762426285
30,998.2685762426285
31,998.2685762426285
32,998.2685762426285
33,998.2685762426285
34,998.2685762426285
35,998.2685762426285
36,998.2685762426285
37,998.2685762426285
38,998.2685762426285
39,998.2685762426285
40,998.2685762426285
41,998.2685762426285
42,998.2685762426285
43,998.2685762426285
44,996.7420735353758
45,989.3738894722298
46,989.3738894722298
47,989.3738894722298
48,989.3738894722298
49,989.3738894722298
50,989.3738894722298
51,989.3738894722298
52,989.8779283579643
53,991.6543580893945
54,991.7465603245898
55,993.5906050284965
56,998.3974148900134
57,1004.906892694804
58,1005.1251046514329
59,994.8291883879538
60,989.9977912637182
61,989.9977912637182
62,989.9977912637182
63,989.9977912637182
64,989.9977912637182
65,989.9977912637182
66,989.9977912637182
67,989.9977912637182
68,989.9977912637182
69,989.9977912637182
70,989.9977912637182
71,989.9977912637182
72,989.9977912637182
73,989.9977912637182
74,989.9977912637182
75,989.9977912637182
76,989.9977912637182
77,989.9977912637182
78,989.9977912637182
79,989.9977912637182
80,989.9977912637182
81,989.9977912637182
82,989.9977912637182
83,989.9977912637182
84,989.9977912637182
85,989.9977912637182
86,989.9977912637182
87,989.9977912637182
88,989.9977912637182
89,989.9977912637182
90,989.9977912637182
91,989.9977912637182
92,989.9977912637182
93,989.9977912637182
94,989.9977912637182
95,989.9977912637182
96,989.9977912637182
97,989.9977912637182
98,989.9977912637182
99,989.9977912637182
100,989.9977912637182
101,989.9977912637182
102,989.9977912637182
103,989.9977912637182
104,989.9977912637182
105,989.9977912637182
106,989.9977912637182
107,989.9977912637182
108,989.9977912637182
109,989.9977912637182
110,989.9977912637182
111,989.9977912637182
112,989.9977912637182
113,989.9977912637182
114,989.9977912637182
115,989.9977912637182
116,989.9977912637182
117,989.9977912637182
118,989.9977912637182
119,989.9977912637182
120,989.9977912637182
121,989.9977912637182
122,989.9977912637182
123,989.9977912637182
124,989.9977912637182
125,989.9977912637182
126,989.9977912637182
127,989.9977912637182
128,989.9977912637182
129,989.9977912637182
130,989.9977912637182
131,989.9977912637182
132,989.9977912637182
133,989.9977912637182
134,989.9977912637182
135,989.9977912637182
136,989.9977912637182
137,989.9977912637182
138,989.9977912637182
139,989.9977912637182
140,989.9977912637182
141,989.9977912637182
142,989.9977912637182
143,989.9977912637182
144,989.9977912637182
145,989.9977912637182
146,989.9977912637182
147,989.9977912637182
148,989.9977912637182
149,989.9977912637182
150,989.9977912637182
151,989.9977912637182
152,989.9977912637182
153,989.9977912637182
154,989.9977912637182
155,989.9977912637182
156,989.9977912637182
157,989.9977912637182
158,989.9977912637182
159,989.9977912637182
160,989.9977912637182
161,989.9977912637182
162,989.9977912637182
163,989.9977912637182
164,989.9977912637182
165,989.9977912637182
166,989.9977912637182
167,989.9977912637182
168,989.9977912637182
169,989.9977912637182
170,989.9977912637182
171,989.9977912637182
172,989.9977912637182
173,989.9977912637182
174,989.9977912637182
175,989.9977912637182
176,989.9977912637182
177,989.9977912637182
178,989.9977912637182
179,989.9977912637182
180,989.9977912637182
181,991.929494271062
182,989.9281803445347
183,982.5167927927098
184,985.4295746922969
185,985.0706433902567
186,984.0678110857685
187,985.1511310155627
188,988.1835566824966
189,985.6492841559701
