bar,equity
0,1000.0
1,1009.4591814240576
2,1007.2525534572709
3,1009.731795135572
4,1013.4249393783525
5,1012.97229774414
6,1011.8098317290029
7,1011.0331398339334
8,1010.6885149533397
9,1005.9717833786465
10,1004.8658975677861
11,1007.7874935704314
12,1007.1805422881916
13,1009.3923139099126
14,1010.6267910941289
15,1012.7819825115732
16,1012.447644940848
17,1009.7935189947829
18,1018.8412080241017
19,1020.1014034829892
20,1020.0602542435154
21,1018.2394003967962
22,1014.5874053934896
23,1006.8307737526636
24,1006.8307737526636
25,1006.8307737526636
26,1009.8415666618562
27,1011.3942676261162
28,1012.3292273465308
29,1011.0937448588401
30,1019.3859471410892
31,1031.4068578321348
32,1029.5480688641676
33,1027.065973415924
34,1032.2861651882392
35,1030.6611161503756
36,1029.459025081271
37,1029.6705040656504
38,1030.6388552046515
39,1032.8649497770673
40,1033.543908621654
41,1031.996772893825
42,1031.8075548551697
43,1033.52164767593
44,1029.0805890039603
45,1019.358120958934
46,1019.358120958934
47,1019.358120958934
48,1019.358120958934
49,1019.358120958934
50,1019.358120958934
51,1019.358120958934
52,1019.8291275354098
53,1015.6240585124408
54,1016.779724133072
55,1019.877684914428
56,1025.6754359691913
57,1025.9279343400856
58,1026.714563880179
59,1028.1712852507226
60,1027.287540952593
61,1025.9959146707108
62,1027.0933114365203
63,1026.9961966784842
64,1026.74369830759
65,1025.40351464669
66,1026.3066818964269
67,1032.138423116503
68,1030.2592525485018
69,1029.8513705647497
70,1029.297816443943
71,1024.4615014937383
72,1024.4615014937383
73,1024.4615014937383
74,1024.4615014937383
75,1024.4615014937383
76,1028.267692947032
77,1029.1735142539942
78,1029.7788467620126
79,1030.8022506424747
80,1034.6345715565462
81,1037.177839072248
82,1035.4968437622122
83,1032.465826311992
84,1030.8414448336414
85,1030.0967552014752
86,1029.4696481428089
87,1030.7848310019563
88,1030.2012730445863
89,1030.4059538206786
90,1026.7478293117924
91,1026.7478293117924
92,1026.7478293117924
93,1026.7478293117924
94,1026.7478293117924
95,1026.7478293117924
96,1026.7478293117924
97,1026.7478293117924
98,1026.7478293117924
99,1026.7478293117924
100,1026.7478293117924
101,1026.7478293117924
102,1026.7478293117924
103,1026.7478293117924
104,1026.7478293117924
105,1026.7478293117924
106,1026.7478293117924
107,1026.7478293117924
108,1026.7478293117924
109,1026.7478293117924
110,1026.7478293117924
111,1026.7478293117924
112,1026.7478293117924
113,1026.7478293117924
114,1026.7478293117924
115,1026.7478293117924
116,1026.7478293117924
117,1026.7478293117924
118,1026.7478293117924
119,1026.7478293117924
120,1026.7478293117924
121,1026.7478293117924
122,1026.7478293117924
123,1026.7478293117924
124,1026.7478293117924
125,1026.7478293117924
126,1026.7478293117924
127,1026.7478293117924
128,1026.7478293117924
129,1026.7478293117924
130,1026.7478293117924
131,1026.7478293117924
132,1026.7478293117924
133,1026.7478293117924
134,1026.7478293117924
135,1026.7478293117924
136,1026.7478293117924
137,1031.1720361501943
138,1032.677336231654
139,1031.7909666405405
140,1024.9674490124012
141,1024.9674490124012
142,1024.9674490124012
143,1024.9674490124012
144,1024.9674490124012
145,1024.9674490124012
146,1024.9674490124012
147,1024.9674490124012
148,1024.9674490124012
149,1024.9674490124012
150,1024.9674490124012
151,1024.9674490124012
152,1024.9674490124012
153,1024.9674490124012
154,1024.9674490124012
155,1024.9674490124012
156,1024.9674490124012
157,1024.9674490124012
158,1024.9674490124012
159,1024.9674490124012
160,1024.9674490124012
161,1024.9674490124012
162,1024.9674490124012
163,1024.9674490124012
164,1024.9674490124012
165,1024.9674490124012
166,1024.9674490124012
167,1024.9674490124012
168,1024.9674490124012
169,1024.9674490124012
170,1024.9674490124012
171,1024.9674490124012
172,1024.9674490124012
173,1024.9674490124012
174,1024.9674490124012
175,1024.9674490124012
176,1024.9674490124012
177,1024.9674490124012
178,1024.9674490124012
179,1022.9869192675346
180,1020.1656748554594
181,1022.7767406007324
182,1022.2674615234811
183,1023.0717991137432
184,1030.3189212209793
185,1027.6997716808291
186,1033.6090257359208
187,1036.2605104555787
188,1036.2120076863166
189,1040.8601897405952
190,1040.8601897405952
