bar,equity
0,1000.0
1,1005.7824798984342
2,1005.3085061362675
3,1008.0338552687263
4,1006.327549724926
5,1007.5658061785866
6,1008.721117223868
7,1008.1404993652137
8,1006.0194667795176
9,1003.2704189589505
10,1003.8154887854423
11,1011.25687685146
12,1014.136267456623
13,1012.5721540414727
14,1012.868387642827
15,1017.8925095217944
16,1019.5040203131613
17,1017.5311045281422
18,1040.388489208633
19,1042.2962336013543
20,1045.6081252644944
21,1044.4942869234026
22,1050.999576809141
23,1050.442657638595
24,1051.8764282691495
25,1052.3622513753703
26,1065.218789674143
27,1064.6618705035971
28,1062.683030046551
29,1065.7460854845535
30,1068.8328396106645
31,1066.3207786711807
32,1065.301735082522
33,1059.874735505713
34,1058.251375370292
35,1059.1163774862462
36,1056.3614049936523
37,1055.1349978840458
38,1055.1349978840458
39,1055.8417417905132
40,1055.6627000008748
41,1055.6627000008748
42,1051.0589628526586
43,1051.0589628526586
44,1051.0589628526586
45,1051.0589628526586
46,1051.0589628526586
47,1051.0589628526586
48,1051.0589628526586
49,1051.3423901503338
50,1052.9574758624829
51,1055.8727280671421
52,1050.4516186433545
53,1051.5808289880606
54,1052.813512790648
55,1059.0129225715436
56,1067.4617553498615
57,1065.7791869477896
58,1072.3834928682213
59,1078.4434384232768
60,1078.1960018935604
61,1080.5533971948587
62,1074.7408881695198
63,1080.9582933343947
64,1081.3631894739308
65,1076.0320569700402
66,1086.131966228466
67,1087.252178881182
68,1083.1627278718686
69,1075.7981169783081
70,1073.7061535907055
71,1081.5611386977039
72,1080.9402979504155
73,1088.5523453736923
74,1085.6820816289815
75,1094.7877459225465
76,1111.5864368672958
77,1116.1617632440525
78,1113.0440629696254
79,1113.0395641236305
80,1108.626196202688
81,1109.211046182018
82,1112.7291437499862
83,1110.9386030440382
84,1114.2632502342283
85,1107.4654939360182
86,1110.479720752564
87,1113.2420121933985
88,1106.3002928233536
89,1103.3445510047409
90,1102.4807725737305
91,1102.4807725737305
92,1102.4807725737305
93,1102.4807725737305
94,1102.4807725737305
95,1102.4807725737305
96,1102.4807725737305
97,1102.2063773592233
98,1101.8453310243453
99,1101.8164473175552
100,1102.0764006786674
101,1101.4770637627698
102,1103.0656676362328
103,1104.0188299603105
104,1102.3507958931746
105,1107.9903396439681
106,1110.38046638086
107,1112.7272675575666
108,1115.0668478075759
109,1118.0490905336676
110,1118.0021545101336
111,1115.6300800899853
112,1113.7020926617372
113,1107.907298986946
114,1112.525081610035
115,1114.0703599233127
116,1112.2001399086448
117,1116.0561147651413
118,1116.944288748941
119,1118.157404434131
120,1119.6232525537355
121,1119.5221595799696
122,1123.6886342844612
123,1120.8291473122279
124,1115.9333590112828
125,1115.3845685822685
126,1115.3845685822685
127,1115.3845685822685
128,1115.3845685822685
129,1115.3845685822685
130,1115.3845685822685
131,1115.3845685822685
132,1115.3845685822685
133,1115.3845685822685
134,1115.3845685822685
135,1115.3845685822685
136,1115.3845685822685
137,1115.3845685822685
138,1115.3845685822685
139,1115.3845685822685
140,1115.3845685822685
141,1115.3845685822685
142,1115.3845685822685
143,1115.3845685822685
144,1115.3845685822685
145,1115.3845685822685
146,1115.3845685822685
147,1115.3845685822685
148,1115.3845685822685
149,1115.3845685822685
150,1115.3845685822685
151,1115.3845685822685
152,1115.3845685822685
153,1115.3845685822685
154,1115.3845685822685
155,1115.3845685822685
156,1115.3845685822685
157,1115.3845685822685
158,1115.3845685822685
159,1115.3845685822685
160,1115.3845685822685
161,1115.3845685822685
162,1115.3845685822685
163,1115.3845685822685
164,1115.3845685822685
165,1115.3845685822685
166,1115.3845685822685
167,1115.3845685822685
168,1115.3845685822685
169,1115.3845685822685
170,1115.3845685822685
171,1115.3845685822685
172,1115.3845685822685
173,1115.3845685822685
174,1115.3845685822685
175,1115.3845685822685
176,1115.3845685822685
177,1120.2085665192155
178,1119.873281556222
179,1123.6161565512718
180,1127.6977377844476
181,1127.3350826203935
182,1127.6806314087846
183,1151.4379659294661
184,1151.98536995068
185,1150.2199919822651
186,1153.7781181201553
187,1160.2238004699484
188,1160.2648557715395
189,1162.1670847452576
190,1162.1670847452576
