bar,equity
0,1000.0
1,1000.247464880454
2,999.9674388315192
3,1001.654107358824
4,1007.8277049027816
5,1005.5907526281514
6,1003.3342636524328
7,1002.4160387012745
8,996.2098799888362
9,996.2098799888362
10,996.2098799888362
11,996.2098799888362
12,996.2098799888362
13,996.2098799888362
14,996.2098799888362
15,996.2098799888362
16,996.2098799888362
17,996.2098799888362
18,996.2098799888362
19,996.2098799888362
20,996.2098799888362
21,996.2098799888362
22,996.2098799888362
23,996.2098799888362
24,996.2098799888362
25,996.2098799888362
26,996.2098799888362
27,996.2098799888362
28,996.2098799888362
29,996.2098799888362
30,996.2098799888362
31,996.2098799888362
32,996.2098799888362
33,996.2098799888362
34,996.2098799888362
35,996.2098799888362
36,996.2098799888362
37,996.2098799888362
38,996.2098799888362
39,996.2098799888362
40,996.2098799888362
41,996.2098799888362
42,996.2098799888362
43,996.2098799888362
44,995.1334031983363
45,987.1429697859257
46,987.8693728234176
47,988.5695203294339
48,997.5882953913057
49,995.7941674071391
50,995.1946661051127
51,998.4197205547
52,997.3301159984622
53,993.9234607895019
54,996.0173394246817
55,1003.8108563510251
56,1006.8017989782883
57,1006.0600802141023
58,1008.8300387847792
59,1004.7166721869337
60,1005.2417828164458
61,1006.7930471344631
62,1002.6709286927925
63,1005.0820616666359
64,997.146327278133
65,997.146327278133
66,997.146327278133
67,997.146327278133
68,997.146327278133
69,993.0615734823796
70,992.6441123932626
71,992.6441123932626
72,992.6441123932626
73,992.6441123932626
74,992.6441123932626
75,992.6441123932626
76,992.6441123932626
77,992.6441123932626
78,992.6441123932626
79,992.6441123932626
80,992.6441123932626
81,992.6441123932626
82,992.6441123932626
83,992.6441123932626
84,992.6441123932626
85,992.6441123932626
86,992.6441123932626
87,992.6441123932626
88,992.6441123932626
89,992.6441123932626
90,992.6441123932626
91,992.6441123932626
92,992.6441123932626
93,992.6441123932626
94,992.6441123932626
95,992.6441123932626
96,992.6441123932626
97,992.6441123932626
98,992.6441123932626
99,992.6441123932626
100,992.6441123932626
101,992.6441123932626
102,992.6441123932626
103,992.6441123932626
104,992.6441123932626
105,992.6441123932626
106,992.6441123932626
107,992.6441123932626
108,992.6441123932626
109,992.6441123932626
110,992.6441123932626
111,992.6441123932626
112,992.6441123932626
113,992.6441123932626
114,992.6441123932626
115,992.6441123932626
116,995.295754948485
117,991.5593495297626
118,991.8584405250486
119,992.1619955650405
120,991.9566495085754
121,985.0954127958203
122,989.2916148192359
123,987.6198300769282
124,968.7391529939106
125,968.7391529939106
126,968.7391529939106
127,968.7391529939106
128,968.7391529939106
129,968.7391529939106
130,968.7391529939106
131,968.7391529939106
132,968.7391529939106
133,968.7391529939106
134,968.7391529939106
135,968.7391529939106
136,968.7391529939106
137,968.7391529939106
138,968.7391529939106
139,968.7391529939106
140,968.7391529939106
141,968.7391529939106
142,968.7391529939106
143,968.7391529939106
144,968.7391529939106
145,968.7391529939106
146,968.7391529939106
147,968.7391529939106
148,968.7391529939106
149,968.7391529939106
150,968.7391529939106
151,968.7391529939106
152,968.7391529939106
153,968.7391529939106
154,968.7391529939106
155,968.7391529939106
156,968.7391529939106
157,968.7391529939106
158,968.7391529939106
159,968.7391529939106
160,968.7391529939106
161,968.7391529939106
162,968.7391529939106
163,968.7391529939106
164,968.7391529939106
165,968.7391529939106
166,968.7391529939106
167,968.7391529939106
168,968.7391529939106
169,968.7391529939106
170,969.5407527977559
171,973.274046266227
172,974.6363155957957
173,983.7061021404286
174,983.7218639343243
175,982.2492620474848
176,986.5409733568368
177,995.0568454302731
178,995.9079823006484
179,1015.0157798720869
180,1008.9992779735618
181,1003.8924567513108
182,1010.2039293641722
183,1018.0015139729268
184,1020.7643312743827
185,1012.1966704495744
186,1018.3392666992662
187,1048.2371380348259
188,1042.222887821143
189,1063.332433217353
190,1063.332433217353
